"country","year","gdpPercap","lifeExp"
"Australia",1962,12217.22686,70.93
"Australia",1967,14526.12465,71.1
"Australia",1972,16788.62948,71.93
"Australia",1977,18334.19751,73.49
"Australia",1982,19477.00928,74.74
"Australia",1987,21888.88903,76.32
"Australia",1992,23424.76683,77.56
"Australia",1997,26997.93657,78.83
"Australia",2002,30687.75473,80.37
"Australia",2007,34435.36744,81.235
"Austria",1952,6137.076492,66.8
"Austria",1957,8842.59803,67.48
"Austria",1962,10750.72111,69.54
"Austria",1967,12834.6024,70.14
"Austria",1972,16661.6256,70.63
"Austria",1977,19749.4223,72.17
"Austria",1982,21597.08362,73.18
"Austria",1987,23687.82607,74.94
"Austria",1992,27042.01868,76.04
"Austria",1997,29095.92066,77.51
"Austria",2002,32417.60769,78.98
"Austria",2007,36126.4927,79.829
"Bahrain",1952,9867.084765,50.939
"Bahrain",1957,11635.79945,53.832
"Bahrain",1962,12753.27514,56.923
"Bahrain",1967,14804.6727,59.923
"Bahrain",1972,18268.65839,63.3
"Bahrain",1977,19340.10196,65.593
"Bahrain",1982,19211.14731,69.052
"Bahrain",1987,18524.02406,70.75
"Bahrain",1992,19035.57917,72.601
"Bahrain",1997,20292.01679,73.925
"Bahrain",2002,23403.55927,74.795
"Bahrain",2007,29796.04834,75.635
"Bangladesh",1952,684.2441716,37.484
"Bangladesh",1957,661.6374577,39.348
"Bangladesh",1962,686.3415538,41.216
"Bangladesh",1967,721.1860862,43.453
"Bangladesh",1972,630.2336265,45.252
"Bangladesh",1977,659.8772322,46.923
"Bangladesh",1982,676.9818656,50.009
"Bangladesh",1987,751.9794035,52.819
"Bangladesh",1992,837.8101643,56.018
"Bangladesh",1997,972.7700352,59.412
"Bangladesh",2002,1136.39043,62.013
"Bangladesh",2007,1391.253792,64.062
"Belgium",1952,8343.105127,68
"Belgium",1957,9714.960623,69.24
"Belgium",1962,10991.20676,70.25
"Belgium",1967,13149.04119,70.94
"Belgium",1972,16672.14356,71.44
"Belgium",1977,19117.97448,72.8
"Belgium",1982,20979.84589,73.93
"Belgium",1987,22525.56308,75.35
"Belgium",1992,25575.57069,76.46
"Belgium",1997,27561.19663,77.53
"Belgium",2002,30485.88375,78.32
"Belgium",2007,33692.60508,79.441
"Benin",1952,1062.7522,38.223
"Benin",1957,959.6010805,40.358
"Benin",1962,949.4990641,42.618
"Benin",1967,1035.831411,44.885
"Benin",1972,1085.796879,47.014
"Benin",1977,1029.161251,49.19
"Benin",1982,1277.897616,50.904
"Benin",1987,1225.85601,52.337
"Benin",1992,1191.207681,53.919
"Benin",1997,1232.975292,54.777
"Benin",2002,1372.877931,54.406
"Benin",2007,1441.284873,56.728
"Bolivia",1952,2677.326347,40.414
"Bolivia",1957,2127.686326,41.89
"Bolivia",1962,2180.972546,43.428
"Bolivia",1967,2586.886053,45.032
"Bolivia",1972,2980.331339,46.714
"Bolivia",1977,3548.097832,50.023
"Bolivia",1982,3156.510452,53.859
"Bolivia",1987,2753.69149,57.251
"Bolivia",1992,2961.699694,59.957
"Bolivia",1997,3326.143191,62.05
"Bolivia",2002,3413.26269,63.883
"Bolivia",2007,3822.137084,65.554
"Bosnia and Herzegovina",1952,973.5331948,53.82
"Bosnia and Herzegovina",1957,1353.989176,58.45
"Bosnia and Herzegovina",1962,1709.683679,61.93
"Bosnia and Herzegovina",1967,2172.352423,64.79
"Bosnia and Herzegovina",1972,2860.16975,67.45
"Bosnia and Herzegovina",1977,3528.481305,69.86
"Bosnia and Herzegovina",1982,4126.613157,70.69
"Bosnia and Herzegovina",1987,4314.114757,71.14
"Bosnia and Herzegovina",1992,2546.781445,72.178
"Bosnia and Herzegovina",1997,4766.355904,73.244
"Bosnia and Herzegovina",2002,6018.975239,74.09
"Bosnia and Herzegovina",2007,7446.298803,74.852
"Botswana",1952,851.2411407,47.622
"Botswana",1957,918.2325349,49.618
"Botswana",1962,983.6539764,51.52
"Botswana",1967,1214.709294,53.298
"Botswana",1972,2263.611114,56.024
"Botswana",1977,3214.857818,59.319
"Botswana",1982,4551.14215,61.484
"Botswana",1987,6205.88385,63.622
"Botswana",1992,7954.111645,62.745
"Botswana",1997,8647.142313,52.556
"Botswana",2002,11003.60508,46.634
"Botswana",2007,12569.85177,50.728
"Brazil",1952,2108.944355,50.917
"Brazil",1957,2487.365989,53.285
"Brazil",1962,3336.585802,55.665
"Brazil",1967,3429.864357,57.632
"Brazil",1972,4985.711467,59.504
"Brazil",1977,6660.118654,61.489
"Brazil",1982,7030.835878,63.336
"Brazil",1987,7807.095818,65.205
"Brazil",1992,6950.283021,67.057
"Brazil",1997,7957.980824,69.388
"Brazil",2002,8131.212843,71.006
"Brazil",2007,9065.800825,72.39
"Bulgaria",1952,2444.286648,59.6
"Bulgaria",1957,3008.670727,66.61
"Bulgaria",1962,4254.337839,69.51
"Bulgaria",1967,5577.0028,70.42
"Bulgaria",1972,6597.494398,70.9
"Bulgaria",1977,7612.240438,70.81
"Bulgaria",1982,8224.191647,71.08
"Bulgaria",1987,8239.854824,71.34
"Bulgaria",1992,6302.623438,71.19
"Bulgaria",1997,5970.38876,70.32
"Bulgaria",2002,7696.777725,72.14
"Bulgaria",2007,10680.79282,73.005
"Burkina Faso",1952,543.2552413,31.975
"Burkina Faso",1957,617.1834648,34.906
"Burkina Faso",1962,722.5120206,37.814
"Burkina Faso",1967,794.8265597,40.697
"Burkina Faso",1972,854.7359763,43.591
"Burkina Faso",1977,743.3870368,46.137
"Burkina Faso",1982,807.1985855,48.122
"Burkina Faso",1987,912.0631417,49.557
"Burkina Faso",1992,931.7527731,50.26
"Burkina Faso",1997,946.2949618,50.324
"Burkina Faso",2002,1037.645221,50.65
"Burkina Faso",2007,1217.032994,52.295
"Burundi",1952,339.2964587,39.031
"Burundi",1957,379.5646281,40.533
"Burundi",1962,355.2032273,42.045
"Burundi",1967,412.9775136,43.548
"Burundi",1972,464.0995039,44.057
"Burundi",1977,556.1032651,45.91
"Burundi",1982,559.603231,47.471
"Burundi",1987,621.8188189,48.211
"Burundi",1992,631.6998778,44.736
"Burundi",1997,463.1151478,45.326
"Burundi",2002,446.4035126,47.36
"Burundi",2007,430.0706916,49.58
"Cambodia",1952,368.4692856,39.417
"Cambodia",1957,434.0383364,41.366
"Cambodia",1962,496.9136476,43.415
"Cambodia",1967,523.4323142,45.415
"Cambodia",1972,421.6240257,40.317
"Cambodia",1977,524.9721832,31.22
"Cambodia",1982,624.4754784,50.957
"Cambodia",1987,683.8955732,53.914
"Cambodia",1992,682.3031755,55.803
"Cambodia",1997,734.28517,56.534
"Cambodia",2002,896.2260153,56.752
"Cambodia",2007,1713.778686,59.723
"Cameroon",1952,1172.667655,38.523
"Cameroon",1957,1313.048099,40.428
"Cameroon",1962,1399.607441,42.643
"Cameroon",1967,1508.453148,44.799
"Cameroon",1972,1684.146528,47.049
"Cameroon",1977,1783.432873,49.355
"Cameroon",1982,2367.983282,52.961
"Cameroon",1987,2602.664206,54.985
"Cameroon",1992,1793.163278,54.314
"Cameroon",1997,1694.337469,52.199
"Cameroon",2002,1934.011449,49.856
"Cameroon",2007,2042.09524,50.43
"Canada",1952,11367.16112,68.75
"Canada",1957,12489.95006,69.96
"Canada",1962,13462.48555,71.3
"Canada",1967,16076.58803,72.13
"Canada",1972,18970.57086,72.88
"Canada",1977,22090.88306,74.21
"Canada",1982,22898.79214,75.76
"Canada",1987,26626.51503,76.86
"Canada",1992,26342.88426,77.95
"Canada",1997,28954.92589,78.61
"Canada",2002,33328.96507,79.77
"Canada",2007,36319.23501,80.653
"Central African Republic",1952,1071.310713,35.463
"Central African Republic",1957,1190.844328,37.464
"Central African Republic",1962,1193.068753,39.475
"Central African Republic",1967,1136.056615,41.478
"Central African Republic",1972,1070.013275,43.457
"Central African Republic",1977,1109.374338,46.775
"Central African Republic",1982,956.7529907,48.295
"Central African Republic",1987,844.8763504,50.485
"Central African Republic",1992,747.9055252,49.396
"Central African Republic",1997,740.5063317,46.066
"Central African Republic",2002,738.6906068,43.308
"Central African Republic",2007,706.016537,44.741
"Chad",1952,1178.665927,38.092
"Chad",1957,1308.495577,39.881
"Chad",1962,1389.817618,41.716
"Chad",1967,1196.810565,43.601
"Chad",1972,1104.103987,45.569
"Chad",1977,1133.98495,47.383
"Chad",1982,797.9081006,49.517
"Chad",1987,952.386129,51.051
"Chad",1992,1058.0643,51.724
"Chad",1997,1004.961353,51.573
"Chad",2002,1156.18186,50.525
"Chad",2007,1704.063724,50.651
"Chile",1952,3939.978789,54.745
"Chile",1957,4315.622723,56.074
"Chile",1962,4519.094331,57.924
"Chile",1967,5106.654313,60.523
"Chile",1972,5494.024437,63.441
"Chile",1977,4756.763836,67.052
"Chile",1982,5095.665738,70.565
"Chile",1987,5547.063754,72.492
"Chile",1992,7596.125964,74.126
"Chile",1997,10118.05318,75.816
"Chile",2002,10778.78385,77.86
"Chile",2007,13171.63885,78.553
"China",1952,400.448611,44
"China",1957,575.9870009,50.54896
"China",1962,487.6740183,44.50136
"China",1967,612.7056934,58.38112
"China",1972,676.9000921,63.11888
"China",1977,741.2374699,63.96736
"China",1982,962.4213805,65.525
"China",1987,1378.904018,67.274
"China",1992,1655.784158,68.69
"China",1997,2289.234136,70.426
"China",2002,3119.280896,72.028
"China",2007,4959.114854,72.961
"Colombia",1952,2144.115096,50.643
"Colombia",1957,2323.805581,55.118
"Colombia",1962,2492.351109,57.863
"Colombia",1967,2678.729839,59.963
"Colombia",1972,3264.660041,61.623
"Colombia",1977,3815.80787,63.837
"Colombia",1982,4397.575659,66.653
"Colombia",1987,4903.2191,67.768
"Colombia",1992,5444.648617,68.421
"Colombia",1997,6117.361746,70.313
"Colombia",2002,5755.259962,71.682
"Colombia",2007,7006.580419,72.889
"Comoros",1952,1102.990936,40.715
"Comoros",1957,1211.148548,42.46
"Comoros",1962,1406.648278,44.467
"Comoros",1967,1876.029643,46.472
"Comoros",1972,1937.577675,48.944
"Comoros",1977,1172.603047,50.939
"Comoros",1982,1267.100083,52.933
"Comoros",1987,1315.980812,54.926
"Comoros",1992,1246.90737,57.939
"Comoros",1997,1173.618235,60.66
"Comoros",2002,1075.811558,62.974
"Comoros",2007,986.1478792,65.152
"Congo, Dem. Rep.",1952,780.5423257,39.143
"Congo, Dem. Rep.",1957,905.8602303,40.652
"Congo, Dem. Rep.",1962,896.3146335,42.122
"Congo, Dem. Rep.",1967,861.5932424,44.056
"Congo, Dem. Rep.",1972,904.8960685,45.989
"Congo, Dem. Rep.",1977,795.757282,47.804
"Congo, Dem. Rep.",1982,673.7478181,47.784
"Congo, Dem. Rep.",1987,672.774812,47.412
"Congo, Dem. Rep.",1992,457.7191807,45.548
"Congo, Dem. Rep.",1997,312.188423,42.587
"Congo, Dem. Rep.",2002,241.1658765,44.966
"Congo, Dem. Rep.",2007,277.5518587,46.462
"Congo, Rep.",1952,2125.621418,42.111
"Congo, Rep.",1957,2315.056572,45.053
"Congo, Rep.",1962,2464.783157,48.435
"Congo, Rep.",1967,2677.939642,52.04
"Congo, Rep.",1972,3213.152683,54.907
"Congo, Rep.",1977,3259.178978,55.625
"Congo, Rep.",1982,4879.507522,56.695
"Congo, Rep.",1987,4201.194937,57.47
"Congo, Rep.",1992,4016.239529,56.433
"Congo, Rep.",1997,3484.164376,52.962
"Congo, Rep.",2002,3484.06197,52.97
"Congo, Rep.",2007,3632.557798,55.322
"Costa Rica",1952,2627.009471,57.206
"Costa Rica",1957,2990.010802,60.026
"Costa Rica",1962,3460.937025,62.842
"Costa Rica",1967,4161.727834,65.424
"Costa Rica",1972,5118.146939,67.849
"Costa Rica",1977,5926.876967,70.75
"Costa Rica",1982,5262.734751,73.45
"Costa Rica",1987,5629.915318,74.752
"Costa Rica",1992,6160.416317,75.713
"Costa Rica",1997,6677.045314,77.26
"Costa Rica",2002,7723.447195,78.123
"Costa Rica",2007,9645.06142,78.782
"Cote d'Ivoire",1952,1388.594732,40.477
"Cote d'Ivoire",1957,1500.895925,42.469
"Cote d'Ivoire",1962,1728.869428,44.93
"Cote d'Ivoire",1967,2052.050473,47.35
"Cote d'Ivoire",1972,2378.201111,49.801
"Cote d'Ivoire",1977,2517.736547,52.374
"Cote d'Ivoire",1982,2602.710169,53.983
"Cote d'Ivoire",1987,2156.956069,54.655
"Cote d'Ivoire",1992,1648.073791,52.044
"Cote d'Ivoire",1997,1786.265407,47.991
"Cote d'Ivoire",2002,1648.800823,46.832
"Cote d'Ivoire",2007,1544.750112,48.328
"Croatia",1952,3119.23652,61.21
"Croatia",1957,4338.231617,64.77
"Croatia",1962,5477.890018,67.13
"Croatia",1967,6960.297861,68.5
"Croatia",1972,9164.090127,69.61
"Croatia",1977,11305.38517,70.64
"Croatia",1982,13221.82184,70.46
"Croatia",1987,13822.58394,71.52
"Croatia",1992,8447.794873,72.527
"Croatia",1997,9875.604515,73.68
"Croatia",2002,11628.38895,74.876
"Croatia",2007,14619.22272,75.748
"Cuba",1952,5586.53878,59.421
"Cuba",1957,6092.174359,62.325
"Cuba",1962,5180.75591,65.246
"Cuba",1967,5690.268015,68.29
"Cuba",1972,5305.445256,70.723
"Cuba",1977,6380.494966,72.649
"Cuba",1982,7316.918107,73.717
"Cuba",1987,7532.924763,74.174
"Cuba",1992,5592.843963,74.414
"Cuba",1997,5431.990415,76.151
"Cuba",2002,6340.646683,77.158
"Cuba",2007,8948.102923,78.273
"Czech Republic",1952,6876.14025,66.87
"Czech Republic",1957,8256.343918,69.03
"Czech Republic",1962,10136.86713,69.9
"Czech Republic",1967,11399.44489,70.38
"Czech Republic",1972,13108.4536,70.29
"Czech Republic",1977,14800.16062,70.71
"Czech Republic",1982,15377.22855,70.96
"Czech Republic",1987,16310.4434,71.58
"Czech Republic",1992,14297.02122,72.4
"Czech Republic",1997,16048.51424,74.01
"Czech Republic",2002,17596.21022,75.51
"Czech Republic",2007,22833.30851,76.486
"Denmark",1952,9692.385245,70.78
"Denmark",1957,11099.65935,71.81
"Denmark",1962,13583.31351,72.35
"Denmark",1967,15937.21123,72.96
"Denmark",1972,18866.20721,73.47
"Denmark",1977,20422.9015,74.69
"Denmark",1982,21688.04048,74.63
"Denmark",1987,25116.17581,74.8
"Denmark",1992,26406.73985,75.33
"Denmark",1997,29804.34567,76.11
"Denmark",2002,32166.50006,77.18
"Denmark",2007,35278.41874,78.332
"Djibouti",1952,2669.529475,34.812
"Djibouti",1957,2864.969076,37.328
"Djibouti",1962,3020.989263,39.693
"Djibouti",1967,3020.050513,42.074
"Djibouti",1972,3694.212352,44.366
"Djibouti",1977,3081.761022,46.519
"Djibouti",1982,2879.468067,48.812
"Djibouti",1987,2880.102568,50.04
"Djibouti",1992,2377.156192,51.604
"Djibouti",1997,1895.016984,53.157
"Djibouti",2002,1908.260867,53.373
"Djibouti",2007,2082.481567,54.791
"Dominican Republic",1952,1397.717137,45.928
"Dominican Republic",1957,1544.402995,49.828
"Dominican Republic",1962,1662.137359,53.459
"Dominican Republic",1967,1653.723003,56.751
"Dominican Republic",1972,2189.874499,59.631
"Dominican Republic",1977,2681.9889,61.788
"Dominican Republic",1982,2861.092386,63.727
"Dominican Republic",1987,2899.842175,66.046
"Dominican Republic",1992,3044.214214,68.457
"Dominican Republic",1997,3614.101285,69.957
"Dominican Republic",2002,4563.808154,70.847
"Dominican Republic",2007,6025.374752,72.235
"Ecuador",1952,3522.110717,48.357
"Ecuador",1957,3780.546651,51.356
"Ecuador",1962,4086.114078,54.64
"Ecuador",1967,4579.074215,56.678
"Ecuador",1972,5280.99471,58.796
"Ecuador",1977,6679.62326,61.31
"Ecuador",1982,7213.791267,64.342
"Ecuador",1987,6481.776993,67.231
"Ecuador",1992,7103.702595,69.613
"Ecuador",1997,7429.455877,72.312
"Ecuador",2002,5773.044512,74.173
"Ecuador",2007,6873.262326,74.994
"Egypt",1952,1418.822445,41.893
"Egypt",1957,1458.915272,44.444
"Egypt",1962,1693.335853,46.992
"Egypt",1967,1814.880728,49.293
"Egypt",1972,2024.008147,51.137
"Egypt",1977,2785.493582,53.319
"Egypt",1982,3503.729636,56.006
"Egypt",1987,3885.46071,59.797
"Egypt",1992,3794.755195,63.674
"Egypt",1997,4173.181797,67.217
"Egypt",2002,4754.604414,69.806
"Egypt",2007,5581.180998,71.338
"El Salvador",1952,3048.3029,45.262
"El Salvador",1957,3421.523218,48.57
"El Salvador",1962,3776.803627,52.307
"El Salvador",1967,4358.595393,55.855
"El Salvador",1972,4520.246008,58.207
"El Salvador",1977,5138.922374,56.696
"El Salvador",1982,4098.344175,56.604
"El Salvador",1987,4140.442097,63.154
"El Salvador",1992,4444.2317,66.798
"El Salvador",1997,5154.825496,69.535
"El Salvador",2002,5351.568666,70.734
"El Salvador",2007,5728.353514,71.878
"Equatorial Guinea",1952,375.6431231,34.482
"Equatorial Guinea",1957,426.0964081,35.983
"Equatorial Guinea",1962,582.8419714,37.485
"Equatorial Guinea",1967,915.5960025,38.987
"Equatorial Guinea",1972,672.4122571,40.516
"Equatorial Guinea",1977,958.5668124,42.024
"Equatorial Guinea",1982,927.8253427,43.662
"Equatorial Guinea",1987,966.8968149,45.664
"Equatorial Guinea",1992,1132.055034,47.545
"Equatorial Guinea",1997,2814.480755,48.245
"Equatorial Guinea",2002,7703.4959,49.348
"Equatorial Guinea",2007,12154.08975,51.579
"Eritrea",1952,328.9405571,35.928
"Eritrea",1957,344.1618859,38.047
"Eritrea",1962,380.9958433,40.158
"Eritrea",1967,468.7949699,42.189
"Eritrea",1972,514.3242082,44.142
"Eritrea",1977,505.7538077,44.535
"Eritrea",1982,524.8758493,43.89
"Eritrea",1987,521.1341333,46.453
"Eritrea",1992,582.8585102,49.991
"Eritrea",1997,913.47079,53.378
"Eritrea",2002,765.3500015,55.24
"Eritrea",2007,641.3695236,58.04
"Ethiopia",1952,362.1462796,34.078
"Ethiopia",1957,378.9041632,36.667
"Ethiopia",1962,419.4564161,40.059
"Ethiopia",1967,516.1186438,42.115
"Ethiopia",1972,566.2439442,43.515
"Ethiopia",1977,556.8083834,44.51
"Ethiopia",1982,577.8607471,44.916
"Ethiopia",1987,573.7413142,46.684
"Ethiopia",1992,421.3534653,48.091
"Ethiopia",1997,515.8894013,49.402
"Ethiopia",2002,530.0535319,50.725
"Ethiopia",2007,690.8055759,52.947
"Finland",1952,6424.519071,66.55
"Finland",1957,7545.415386,67.49
"Finland",1962,9371.842561,68.75
"Finland",1967,10921.63626,69.83
"Finland",1972,14358.8759,70.87
"Finland",1977,15605.42283,72.52
"Finland",1982,18533.15761,74.55
"Finland",1987,21141.01223,74.83
"Finland",1992,20647.16499,75.7
"Finland",1997,23723.9502,77.13
"Finland",2002,28204.59057,78.37
"Finland",2007,33207.0844,79.313
"France",1952,7029.809327,67.41
"France",1957,8662.834898,68.93
"France",1962,10560.48553,70.51
"France",1967,12999.91766,71.55
"France",1972,16107.19171,72.38
"France",1977,18292.63514,73.83
"France",1982,20293.89746,74.89
"France",1987,22066.44214,76.34
"France",1992,24703.79615,77.46
"France",1997,25889.78487,78.64
"France",2002,28926.03234,79.59
"France",2007,30470.0167,80.657
"Gabon",1952,4293.476475,37.003
"Gabon",1957,4976.198099,38.999
"Gabon",1962,6631.459222,40.489
"Gabon",1967,8358.761987,44.598
"Gabon",1972,11401.94841,48.69
"Gabon",1977,21745.57328,52.79
"Gabon",1982,15113.36194,56.564
"Gabon",1987,11864.40844,60.19
"Gabon",1992,13522.15752,61.366
"Gabon",1997,14722.84188,60.461
"Gabon",2002,12521.71392,56.761
"Gabon",2007,13206.48452,56.735
"Gambia",1952,485.2306591,30
"Gambia",1957,520.9267111,32.065
"Gambia",1962,599.650276,33.896
"Gambia",1967,734.7829124,35.857
"Gambia",1972,756.0868363,38.308
"Gambia",1977,884.7552507,41.842
"Gambia",1982,835.8096108,45.58
"Gambia",1987,611.6588611,49.265
"Gambia",1992,665.6244126,52.644
"Gambia",1997,653.7301704,55.861
"Gambia",2002,660.5855997,58.041
"Gambia",2007,752.7497265,59.448
"Germany",1952,7144.114393,67.5
"Germany",1957,10187.82665,69.1
"Germany",1962,12902.46291,70.3
"Germany",1967,14745.62561,70.8
"Germany",1972,18016.18027,71
"Germany",1977,20512.92123,72.5
"Germany",1982,22031.53274,73.8
"Germany",1987,24639.18566,74.847
"Germany",1992,26505.30317,76.07
"Germany",1997,27788.88416,77.34
"Germany",2002,30035.80198,78.67
"Germany",2007,32170.37442,79.406
"Ghana",1952,911.2989371,43.149
"Ghana",1957,1043.561537,44.779
"Ghana",1962,1190.041118,46.452
"Ghana",1967,1125.69716,48.072
"Ghana",1972,1178.223708,49.875
"Ghana",1977,993.2239571,51.756
"Ghana",1982,876.032569,53.744
"Ghana",1987,847.0061135,55.729
"Ghana",1992,925.060154,57.501
"Ghana",1997,1005.245812,58.556
"Ghana",2002,1111.984578,58.453
"Ghana",2007,1327.60891,60.022
"Greece",1952,3530.690067,65.86
"Greece",1957,4916.299889,67.86
"Greece",1962,6017.190733,69.51
"Greece",1967,8513.097016,71
"Greece",1972,12724.82957,72.34
"Greece",1977,14195.52428,73.68
"Greece",1982,15268.42089,75.24
"Greece",1987,16120.52839,76.67
"Greece",1992,17541.49634,77.03
"Greece",1997,18747.69814,77.869
"Greece",2002,22514.2548,78.256
"Greece",2007,27538.41188,79.483
"Guatemala",1952,2428.237769,42.023
"Guatemala",1957,2617.155967,44.142
"Guatemala",1962,2750.364446,46.954
"Guatemala",1967,3242.531147,50.016
"Guatemala",1972,4031.408271,53.738
"Guatemala",1977,4879.992748,56.029
"Guatemala",1982,4820.49479,58.137
"Guatemala",1987,4246.485974,60.782
"Guatemala",1992,4439.45084,63.373
"Guatemala",1997,4684.313807,66.322
"Guatemala",2002,4858.347495,68.978
"Guatemala",2007,5186.050003,70.259
"Guinea",1952,510.1964923,33.609
"Guinea",1957,576.2670245,34.558
"Guinea",1962,686.3736739,35.753
"Guinea",1967,708.7595409,37.197
"Guinea",1972,741.6662307,38.842
"Guinea",1977,874.6858643,40.762
"Guinea",1982,857.2503577,42.891
"Guinea",1987,805.5724718,45.552
"Guinea",1992,794.3484384,48.576
"Guinea",1997,869.4497668,51.455
"Guinea",2002,945.5835837,53.676
"Guinea",2007,942.6542111,56.007
"Guinea-Bissau",1952,299.850319,32.5
"Guinea-Bissau",1957,431.7904566,33.489
"Guinea-Bissau",1962,522.0343725,34.488
"Guinea-Bissau",1967,715.5806402,35.492
"Guinea-Bissau",1972,820.2245876,36.486
"Guinea-Bissau",1977,764.7259628,37.465
"Guinea-Bissau",1982,838.1239671,39.327
"Guinea-Bissau",1987,736.4153921,41.245
"Guinea-Bissau",1992,745.5398706,43.266
"Guinea-Bissau",1997,796.6644681,44.873
"Guinea-Bissau",2002,575.7047176,45.504
"Guinea-Bissau",2007,579.231743,46.388
"Haiti",1952,1840.366939,37.579
"Haiti",1957,1726.887882,40.696
"Haiti",1962,1796.589032,43.59
"Haiti",1967,1452.057666,46.243
"Haiti",1972,1654.456946,48.042
"Haiti",1977,1874.298931,49.923
"Haiti",1982,2011.159549,51.461
"Haiti",1987,1823.015995,53.636
"Haiti",1992,1456.309517,55.089
"Haiti",1997,1341.726931,56.671
"Haiti",2002,1270.364932,58.137
"Haiti",2007,1201.637154,60.916
"Honduras",1952,2194.926204,41.912
"Honduras",1957,2220.487682,44.665
"Honduras",1962,2291.156835,48.041
"Honduras",1967,2538.269358,50.924
"Honduras",1972,2529.842345,53.884
"Honduras",1977,3203.208066,57.402
"Honduras",1982,3121.760794,60.909
"Honduras",1987,3023.096699,64.492
"Honduras",1992,3081.694603,66.399
"Honduras",1997,3160.454906,67.659
"Honduras",2002,3099.72866,68.565
"Honduras",2007,3548.330846,70.198
"Hong Kong, China",1952,3054.421209,60.96
"Hong Kong, China",1957,3629.076457,64.75
"Hong Kong, China",1962,4692.648272,67.65
"Hong Kong, China",1967,6197.962814,70
"Hong Kong, China",1972,8315.928145,72
"Hong Kong, China",1977,11186.14125,73.6
"Hong Kong, China",1982,14560.53051,75.45
"Hong Kong, China",1987,20038.47269,76.2
"Hong Kong, China",1992,24757.60301,77.601
"Hong Kong, China",1997,28377.63219,80
"Hong Kong, China",2002,30209.01516,81.495
"Hong Kong, China",2007,39724.97867,82.208
"Hungary",1952,5263.673816,64.03
"Hungary",1957,6040.180011,66.41
"Hungary",1962,7550.359877,67.96
"Hungary",1967,9326.64467,69.5
"Hungary",1972,10168.65611,69.76
"Hungary",1977,11674.83737,69.95
"Hungary",1982,12545.99066,69.39
"Hungary",1987,12986.47998,69.58
"Hungary",1992,10535.62855,69.17
"Hungary",1997,11712.7768,71.04
"Hungary",2002,14843.93556,72.59
"Hungary",2007,18008.94444,73.338
"Iceland",1952,7267.688428,72.49
"Iceland",1957,9244.001412,73.47
"Iceland",1962,10350.15906,73.68
"Iceland",1967,13319.89568,73.73
"Iceland",1972,15798.06362,74.46
"Iceland",1977,19654.96247,76.11
"Iceland",1982,23269.6075,76.99
"Iceland",1987,26923.20628,77.23
"Iceland",1992,25144.39201,78.77
"Iceland",1997,28061.09966,78.95
"Iceland",2002,31163.20196,80.5
"Iceland",2007,36180.78919,81.757
"India",1952,546.5657493,37.373
"India",1957,590.061996,40.249
"India",1962,658.3471509,43.605
"India",1967,700.7706107,47.193
"India",1972,724.032527,50.651
"India",1977,813.337323,54.208
"India",1982,855.7235377,56.596
"India",1987,976.5126756,58.553
"India",1992,1164.406809,60.223
