Country Name,Country Code,Indicator Name,Indicator Code,yr_1960,yr_1961,yr_1962,yr_1963,yr_1964,yr_1965,yr_1966,yr_1967,yr_1968,yr_1969,yr_1970,yr_1971,yr_1972,yr_1973,yr_1974,yr_1975,yr_1976,yr_1977,yr_1978,yr_1979,yr_1980,yr_1981,yr_1982,yr_1983,yr_1984,yr_1985,yr_1986,yr_1987,yr_1988,yr_1989,yr_1990,yr_1991,yr_1992,yr_1993,yr_1994,yr_1995,yr_1996,yr_1997,yr_1998,yr_1999,yr_2000,yr_2001,yr_2002,yr_2003,yr_2004,yr_2005,yr_2006,yr_2007,yr_2008,yr_2009,yr_2010,yr_2011,yr_2012,yr_2013,yr_2014,yr_2015,yr_2016,yr_2017,yr_2018,yr_2019,yr_2020,yr_2021,yr_2022,yr_2023
Armenia,ARM,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.79599,NA,12.30696,NA,11.81793,NA,11.3289,NA,10.83987,NA,10.35084,NA,9.86181,NA,9.37278,NA,8.88375,NA,8.39472,NA,8.39472,NA,NA,NA
American Samoa,ASM,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,ATG,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia,AUS,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austria,AUT,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,4.4,NA,4.4,NA,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Azerbaijan,AZE,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.94,NA,44.93667,NA,38.93333,NA,32.93,NA,26.92667,NA,26.92667,NA,26.92667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burundi,BDI,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.7,NA,79.7,NA,77.04306,NA,71.68054,NA,66.31802,NA,60.9555,NA,55.59298,NA,50.23046,NA,44.86794,NA,39.50542,NA,36.8,NA,NA,NA
Belgium,BEL,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Benin,BEN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.86569,NA,71.47241,NA,71.07914,NA,70.68586,NA,70.29258,NA,69.89931,NA,69.50603,NA,69.11276,NA,68.71948,NA,68.3262,NA,67.93293,NA,NA,NA
Burkina Faso,BFA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.21152,NA,76.64539,NA,71.07927,NA,65.51314,NA,59.94701,NA,54.38089,NA,48.81476,NA,43.24863,NA,37.6825,NA,32.11638,NA,26.55025,NA,NA,NA
Bangladesh,BGD,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.31077,NA,57.66662,NA,57.02246,NA,56.3783,NA,55.73415,NA,55.08999,NA,54.44584,NA,53.80168,NA,53.15752,NA,52.51337,NA,51.86921,NA,NA,NA
Bulgaria,BGR,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bahrain,BHR,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bahamas, The",BHS,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bosnia and Herzegovina,BIH,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,NA,5.1,NA,5.1,NA,4.9,NA,4.7,NA,4.5,NA,4.3,NA,4,NA,4,NA,4,NA,NA,NA,NA,NA
Belarus,BLR,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.5584,NA,16.03017,NA,14.50194,NA,12.97371,NA,11.44548,NA,9.91726,NA,8.38903,NA,6.8608,NA,5.33257,NA,3.80434,NA,2.27611,NA,NA,NA
Belize,BLZ,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.8,NA,15.76133,NA,15.75733,NA,15.75333,NA,15.74933,NA,15.74533,NA,15.74133,NA,15.73733,NA,15.73333,NA,15.72933,NA,15.72533,NA,NA,NA
Bermuda,BMU,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolivia,BOL,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.94489,NA,55.68105,NA,53.41721,NA,51.15337,NA,48.88953,NA,46.62568,NA,46.62568,NA,46.62568,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,BRA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.73978,NA,31.43266,NA,28.12555,NA,24.81844,NA,21.51132,NA,18.20421,NA,14.8971,NA,14.8971,NA,14.8971,NA,NA,NA,NA,NA,NA,NA
Barbados,BRB,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brunei Darussalam,BRN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bhutan,BTN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Botswana,BWA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.69239,NA,56.56976,NA,54.44714,NA,52.32451,NA,50.20189,NA,48.07927,NA,45.95664,NA,43.83402,NA,41.71139,NA,39.58877,NA,39.6,NA,NA,NA
Central African Republic,CAF,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.96516,NA,83.12315,NA,80.28114,NA,77.43913,NA,74.59712,NA,71.75511,NA,68.9131,NA,68.9131,NA,68.9131,NA,NA,NA,NA,NA,NA,NA
Canada,CAN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central Europe and the Baltics,CEB,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Switzerland,CHE,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Channel Islands,CHI,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chile,CHL,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.616,NA,10.97,NA,7.324,NA,7.3,NA,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
China,CHN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cote d'Ivoire,CIV,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.07658,NA,65.53594,NA,63.9953,NA,62.45466,NA,60.91402,NA,59.37338,NA,57.83274,NA,56.2921,NA,54.75146,NA,53.21082,NA,53.21082,NA,NA,NA
Cameroon,CMR,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.3638,NA,62.0946,NA,58.8254,NA,55.55619,NA,52.28699,NA,49.01779,NA,45.74859,NA,42.47939,NA,39.21019,NA,35.94099,NA,32.67179,NA,NA,NA
"Congo, Dem. Rep.",COD,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.91424,NA,71.91424,NA,72.37482,NA,73.29596,NA,74.21711,NA,75.13825,NA,76.0594,NA,76.98054,NA,77.90169,NA,78.36226,NA,NA,NA
"Congo, Rep.",COG,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.80583,NA,87.80583,NA,84.68995,NA,78.45821,NA,72.22646,NA,65.99471,NA,59.76296,NA,53.53121,NA,47.29947,NA,44.18359,NA,44.18359,NA,NA,NA
Colombia,COL,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.17683,NA,19.83238,NA,18.48794,NA,17.14349,NA,15.79905,NA,14.4546,NA,13.11016,NA,11.76571,NA,10.42127,NA,9.7,NA,9.7,NA,NA,NA
Comoros,COM,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.49449,NA,65.086429999999993,NA,65.67836,NA,66.27029,NA,66.86223,NA,67.45416,NA,68.0461,NA,68.63803,NA,68.6,NA,68.6,NA,NA,NA,NA,NA
Cabo Verde,CPV,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Costa Rica,CRI,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.69593,NA,11.78091,NA,10.86589,NA,9.95087,NA,9.03585,NA,8.12083,NA,7.20581,NA,6.29079,NA,5.37577,NA,4.46075,NA,3.54573,NA,NA,NA
Caribbean small states,CSS,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cuba,CUB,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.15371,NA,2.15371,NA,2.15371,NA,3.20225,NA,4.25079,NA,5.29933,NA,6.34787,NA,7.3964,NA,8.44494,NA,9.49348,NA,10.54202,NA,NA,NA
Curacao,CUW,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cayman Islands,CYM,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
